system:index,0_VHDes,0_VVDes,10_VHDes,10_VVDes,11_VHDes,11_VVDes,1_VHDes,1_VVDes,2_VHDes,2_VVDes,3_VHDes,3_VVDes,4_VHDes,4_VVDes,5_VHDes,5_VVDes,6_VHDes,6_VVDes,7_VHDes,7_VVDes,8_VHDes,8_VVDes,9_VHDes,9_VVDes,indexField,.geo
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_1_1_1_1_1_1_1_1_1_1_2_1,0.22881816950385436,0.05314510690820795,0.0900898181556449,0.19539598038151032,0.24500212470253413,0.1825196375235621,0.16732324065177767,0.3502517627518256,0.3943916588853619,0.23958123438821977,0.09921997218521406,0.08929755969417386,0.2109472649667124,0.04287332107566858,0.5645391611199724,0.06820739993969027,0.1280142722084887,0.0670060177056538,0.049631995551200354,0.1267208964242526,0.05073730045707705,0.187643748186041,0.3121969595287286,0.1002360657498217,528,"{""type"":""Polygon"",""coordinates"":[[[-5.203968763213136,41.488244120103715],[-5.204069425254059,41.4882333754139],[-5.204162074502898,41.48820199663192],[-5.2042393360150365,41.48815248153627],[-5.204295059759019,41.48808877156464],[-5.204324810163758,41.48801593806424],[-5.204326219177851,41.487939778602154],[-5.204299174741241,41.48786635547257],[-5.204245829674792,41.487801513137875],[-5.204170430289622,41.48775041301528],[-5.20407897836706,41.48771712263823],[-5.20397875341989,41.487704291891994],[-5.203877733261934,41.48771294209186],[-5.203783959002779,41.48774238469016],[-5.203704895005086,41.48779027608211],[-5.203646834742664,41.48785280414861],[-5.203614399846322,41.48792499168983],[-5.20361017221147,41.488001092599546],[-5.203634488455009,41.48807504924839],[-5.203685413090307,41.48814097467016],[-5.203758892564984,41.48819362116961],[-5.2038490779085205,41.488228798048894],[-5.203948790311658,41.488243705198514],[-5.203968763213136,41.488244120103715]]]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_1_1_1_1_1_1_1_1_1_2_1,1.6186178257862078,0.8810820066778421,0.3518802900142407,0.506245291879643,0.6945980019381286,0.45344664365168874,0.8255439058554397,0.9340516132146931,0.6985678265896083,0.4297331439032782,0.3178514821646336,0.3170461233631196,0.9706245991213378,0.4667437438490753,0.6434302003059774,0.4799957480024477,0.37850536504863125,0.36110661975743613,0.3802387336419689,0.7626161313903465,0.26707938753433447,0.3585772326819939,0.4840503906347575,0.20513662351650774,529,"{""type"":""Polygon"",""coordinates"":[[[-5.084259015642721,41.490476656902615],[-5.084359681152569,41.49046591221279],[-5.084452333594196,41.49043453343081],[-5.084529597768834,41.49038501833515],[-5.084585323433087,41.4903213083635],[-5.084615074863022,41.490248474863094],[-5.084616483925635,41.490172315401004],[-5.084589438557026,41.49009889227143],[-5.084536091652249,41.49003404993674],[-5.084460689668761,41.48998294981416],[-5.084369234594712,41.489949659437116],[-5.084269006193741,41.48993682869089],[-5.0841679825545825,41.48994547889075],[-5.084074205063915,41.48997492148905],[-5.083995138341621,41.49002281288098],[-5.083937076078386,41.49008534094748],[-5.083904640064285,41.49015752848869],[-5.083900412283711,41.490233629398396],[-5.083924729365178,41.49030758604725],[-5.0839756557553635,41.49037351146902],[-5.084049137762204,41.490426157968486],[-5.084139326213618,41.490461334847794],[-5.084239042052954,41.49047624199742],[-5.084259015642721,41.490476656902615]]]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_1_1_1_1_2_1,0.5810073891601755,0.2849470672088481,0.35017253000488835,0.5444513016859315,0.29749296367246103,0.41753936151949156,0.6478470922149822,0.7089741597228394,0.62384787967242,0.2371033896225571,0.22477100207618225,0.40222429416322286,0.49482231788381065,0.5568509340589303,0.43697744804150496,0.4195895866088791,0.46866516637481925,0.3020002809152535,0.7942739382502173,0.4194483697732613,0.6692534400100049,0.3265799808523637,0.27885359471305726,0.37151046303825863,534,"{""type"":""Polygon"",""coordinates"":[[[-4.485528535777772,41.49977095535346],[-4.485629215733354,41.49976021066362],[-4.485721881470791,41.4997288318816],[-4.485799156732937,41.49967931678589],[-4.485854890393825,41.49961560681419],[-4.485884646093006,41.499542773313756],[-4.485886055357685,41.49946661385167],[-4.485859006107919,41.49939319072212],[-4.485805651547746,41.49932834838747],[-4.48573023874401,41.49927724826495],[-4.485638770546151,41.49924395788794],[-4.485538527762432,41.499231127141734],[-4.485437489626413,41.499239777341586],[-4.485343698678677,41.49926921993984],[-4.485264620610256,41.49931711133172],[-4.48520655001498,41.49937963939817],[-4.485174109346169,41.49945182693934],[-4.485169880958767,41.499527927849066],[-4.485194201529639,41.49960188449794],[-4.485245135227744,41.49966780991976],[-4.485318627779334,41.49972045641927],[-4.48540882917296,41.49975563329861],[-4.485508559321747,41.49977054044825],[-4.485528535777772,41.49977095535346]]]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_1_1_1_2_1,0.27754009470042607,0.019412701400807444,0.0637835058967542,0.08091091142383489,0.17461911052599896,0.017605072602882195,0.06674344231112364,0.035586061397603834,0.25115922466831886,0.24558408249061794,0.07085265264161471,0.06841013221703704,0.15953651750379283,0.49819749064270413,0.16593175297114482,0.6352439869556442,0.2340973263209221,0.12440158608935749,0.4699510369090657,0.2317887791217257,0.3621907099980232,0.1046585299452376,0.37393450597549127,0.1398746308937257,535,"{""type"":""Polygon"",""coordinates"":[[[-4.365751356289799,41.501255904393965],[-4.365852038554004,41.50124515970411],[-4.365944706416291,41.501213780922086],[-4.36602198345037,41.50116426582637],[-4.366077718389227,41.50110055585466],[-4.366107474770692,41.50102772235423],[-4.366108884067664,41.50095156289214],[-4.3660818341976375,41.50087813976259],[-4.366028478414028,41.50081329742796],[-4.3659530638810695,41.50076219730545],[-4.3658615935858505,41.500728906928444],[-4.365761348503574,41.50071607618223],[-4.365660308050762,41.50072472638208],[-4.3655665149524046,41.500754168980336],[-4.365487435070721,41.50080206037221],[-4.36542936314387,41.50086458843865],[-4.3653969217311746,41.500936775979824],[-4.365392693246793,41.501012876889526],[-4.36541701437532,41.50108683353841],[-4.365467949241329,41.501152758960245],[-4.365541443478111,41.50120540545976],[-4.365631646940077,41.50124058233911],[-4.365731379375708,41.50125548948877],[-4.365751356289799,41.501255904393965]]]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_2_1,0.4059443280677691,0.3242930815898773,0.3241072102824417,0.15050585104636072,0.19744743282054703,0.07642070838839526,0.7258733429477273,0.04962559188725824,1.0618866301062846,0.543324952772277,0.46267006100067287,0.3055759151453935,0.41286585861995273,0.5514376213651928,0.7243970767408099,0.41635996970154443,0.914591328801335,0.4044364048778961,0.5686551828925309,0.37557277379811016,0.5530616030496532,0.29500027389182876,0.32635010867743874,0.10966215222608316,538,"{""type"":""Polygon"",""coordinates"":[[[-4.006371207416774,41.50496243015244],[-4.0064718954442045,41.50495168546259],[-4.006564568610947,41.50492030668055],[-4.006641850068463,41.50487079158481],[-4.006697588197632,41.50480708161309],[-4.006727346282344,41.50473424811265],[-4.006728755659929,41.50465808865056],[-4.006701704241488,41.50458466552102],[-4.006648345403708,41.5045198231864],[-4.006572926553938,41.5044687230639],[-4.006481451022882,41.50443543268691],[-4.006381200202511,41.50442260194072],[-4.006280153966076,41.504431252140556],[-4.006186355498929,41.504460694738796],[-4.006107271090631,41.504508586130655],[-4.0060491958396565,41.50457111419708],[-4.006016752569932,41.504643301738234],[-4.006012523843454,41.50471940264794],[-4.0060368463641005,41.50479335929683],[-4.006087784145655,41.50485928471868],[-4.0061612825893365,41.50491193121822],[-4.006251491214687,41.50494710809758],[-4.006351229359172,41.50496201524724],[-4.006371207416774,41.50496243015244]]]}"
